Iteration-1

(Centre , 0 , 0 , Dormant , 25.0) : Hit = -5.0
(West , 0 , 3 , Dormant , 50.0) : Stay = -10.0
(South , 0 , 3 , Dormant , 50.0) : Stay = -10.0
(North , 0 , 3 , Dormant , 50.0) : Stay = -10.0
(Centre , 0 , 3 , Dormant , 75.0) : Stay = -10.0
(East , 0 , 3 , Dormant , 75.0) : Stay = -10.0
(West , 0 , 3 , Dormant , 75.0) : Stay = -10.0
(South , 0 , 3 , Dormant , 75.0) : Stay = -10.0
(North , 0 , 3 , Dormant , 75.0) : Stay = -10.0
(Centre , 0 , 3 , Dormant , 100.0) : Stay = -10.0
(East , 0 , 3 , Dormant , 100.0) : Stay = -10.0
(West , 0 , 3 , Dormant , 100.0) : Stay = -10.0
(South , 0 , 3 , Dormant , 100.0) : Stay = -10.0
(North , 0 , 3 , Dormant , 100.0) : Stay = -10.0
(Centre , 0 , 3 , Ready , 25.0) : Shoot = -17.5
(East , 0 , 3 , Ready , 25.0) : Shoot = -7.5
(West , 0 , 3 , Ready , 25.0) : Shoot = 2.5
(South , 0 , 3 , Ready , 25.0) : Stay = -10.0
(North , 0 , 3 , Ready , 25.0) : Stay = -10.0
(Centre , 0 , 3 , Ready , 50.0) : Hit = -27.5
(East , 0 , 3 , Ready , 50.0) : Hit = -25.0
(West , 0 , 3 , Ready , 50.0) : Stay = -10.0
(South , 0 , 3 , Ready , 50.0) : Stay = -10.0
(North , 0 , 3 , Ready , 50.0) : Stay = -10.0
(Centre , 0 , 3 , Ready , 75.0) : Stay = -30.0
(East , 0 , 3 , Ready , 75.0) : Stay = -30.0
(West , 0 , 3 , Ready , 75.0) : Stay = -10.0
(South , 0 , 3 , Ready , 75.0) : Stay = -10.0
(North , 0 , 3 , Ready , 75.0) : Stay = -10.0
(Centre , 0 , 3 , Ready , 100.0) : Stay = -30.0
(East , 0 , 3 , Ready , 100.0) : Stay = -30.0
(West , 0 , 3 , Ready , 100.0) : Stay = -10.0
(South , 0 , 3 , Ready , 100.0) : Stay = -10.0
(North , 0 , 3 , Ready , 100.0) : Stay = -10.0
(Centre , 1 , 0 , Dormant , 25.0) : Hit = -5.0
(East , 1 , 0 , Dormant , 25.0) : Hit = 0.0
(West , 1 , 0 , Dormant , 25.0) : Stay = -10.0
(South , 1 , 0 , Dormant , 25.0) : Stay = -10.0
(North , 1 , 0 , Dormant , 25.0) : Stay = -10.0
(Centre , 1 , 0 , Dormant , 50.0) : Hit = -5.0
(East , 1 , 0 , Dormant , 50.0) : Hit = 0.0
(West , 1 , 0 , Dormant , 50.0) : Stay = -10.0
(South , 1 , 0 , Dormant , 50.0) : Stay = -10.0
(North , 1 , 0 , Dormant , 50.0) : Stay = -10.0
(Centre , 1 , 0 , Dormant , 75.0) : Stay = -10.0
(East , 1 , 0 , Dormant , 75.0) : Stay = -10.0
(West , 1 , 0 , Dormant , 75.0) : Stay = -10.0
(South , 1 , 0 , Dormant , 75.0) : Stay = -10.0
(North , 1 , 0 , Dormant , 75.0) : Stay = -10.0
(Centre , 1 , 0 , Dormant , 100.0) : Stay = -10.0
(East , 1 , 0 , Dormant , 100.0) : Stay = -10.0
(West , 1 , 0 , Dormant , 100.0) : Stay = -10.0
(South , 1 , 0 , Dormant , 100.0) : Stay = -10.0
(North , 1 , 0 , Dormant , 100.0) : Stay = -10.0
(Centre , 1 , 0 , Ready , 25.0) : Hit = -27.5
(East , 1 , 0 , Ready , 25.0) : Hit = -25.0
(West , 1 , 0 , Ready , 25.0) : Stay = -10.0
(South , 1 , 0 , Ready , 25.0) : Stay = -10.0
(North , 1 , 0 , Ready , 25.0) : Stay = -10.0
(Centre , 1 , 0 , Ready , 50.0) : Hit = -27.5
(East , 1 , 0 , Ready , 50.0) : Hit = -25.0
(West , 1 , 0 , Ready , 50.0) : Stay = -10.0
(South , 1 , 0 , Ready , 50.0) : Stay = -10.0
(North , 1 , 0 , Ready , 50.0) : Stay = -10.0
(Centre , 1 , 0 , Ready , 75.0) : Stay = -30.0
(East , 1 , 0 , Ready , 75.0) : Stay = -30.0
(West , 1 , 0 , Ready , 75.0) : Stay = -10.0
(South , 1 , 0 , Ready , 75.0) : Stay = -10.0
(North , 1 , 0 , Ready , 75.0) : Stay = -10.0
(Centre , 1 , 0 , Ready , 100.0) : Stay = -30.0
(East , 1 , 0 , Ready , 100.0) : Stay = -30.0
(West , 1 , 0 , Ready , 100.0) : Stay = -10.0
(South , 1 , 0 , Ready , 100.0) : Stay = -10.0
(North , 1 , 0 , Ready , 100.0) : Stay = -10.0
(Centre , 1 , 1 , Dormant , 25.0) : Shoot = 15.0
(East , 1 , 1 , Dormant , 25.0) : Shoot = 35.0
(West , 1 , 1 , Dormant , 25.0) : Shoot = 2.5
(South , 1 , 1 , Dormant , 25.0) : Stay = -10.0
(North , 1 , 1 , Dormant , 25.0) : Stay = -10.0
(Centre , 1 , 1 , Dormant , 50.0) : Hit = -5.0
(East , 1 , 1 , Dormant , 50.0) : Hit = 0.0
(West , 1 , 1 , Dormant , 50.0) : Stay = -10.0
(South , 1 , 1 , Dormant , 50.0) : Stay = -10.0
(North , 1 , 1 , Dormant , 50.0) : Stay = -10.0
(Centre , 1 , 1 , Dormant , 75.0) : Stay = -10.0
(East , 1 , 1 , Dormant , 75.0) : Stay = -10.0
(West , 1 , 1 , Dormant , 75.0) : Stay = -10.0
(South , 1 , 1 , Dormant , 75.0) : Stay = -10.0
(North , 1 , 1 , Dormant , 75.0) : Stay = -10.0
(Centre , 1 , 1 , Dormant , 100.0) : Stay = -10.0
(East , 1 , 1 , Dormant , 100.0) : Stay = -10.0
(West , 1 , 1 , Dormant , 100.0) : Stay = -10.0
(South , 1 , 1 , Dormant , 100.0) : Stay = -10.0
(North , 1 , 1 , Dormant , 100.0) : Stay = -10.0
(Centre , 1 , 1 , Ready , 25.0) : Shoot = -17.5
(East , 1 , 1 , Ready , 25.0) : Shoot = -7.5
(West , 1 , 1 , Ready , 25.0) : Shoot = 2.5
(South , 1 , 1 , Ready , 25.0) : Stay = -10.0
(North , 1 , 1 , Ready , 25.0) : Stay = -10.0
(Centre , 1 , 1 , Ready , 50.0) : Hit = -27.5
(East , 1 , 1 , Ready , 50.0) : Hit = -25.0
(West , 1 , 1 , Ready , 50.0) : Stay = -10.0
(South , 1 , 1 , Ready , 50.0) : Stay = -10.0
(North , 1 , 1 , Ready , 50.0) : Stay = -10.0
(Centre , 1 , 1 , Ready , 75.0) : Stay = -30.0
(East , 1 , 1 , Ready , 75.0) : Stay = -30.0
(West , 1 , 1 , Ready , 75.0) : Stay = -10.0
(South , 1 , 1 , Ready , 75.0) : Stay = -10.0
(North , 1 , 1 , Ready , 75.0) : Stay = -10.0
(Centre , 1 , 1 , Ready , 100.0) : Stay = -30.0
(East , 1 , 1 , Ready , 100.0) : Stay = -30.0
(West , 1 , 1 , Ready , 100.0) : Stay = -10.0
(South , 1 , 1 , Ready , 100.0) : Stay = -10.0
(North , 1 , 1 , Ready , 100.0) : Stay = -10.0
(Centre , 1 , 2 , Dormant , 25.0) : Shoot = 15.0
(East , 1 , 2 , Dormant , 25.0) : Shoot = 35.0
(West , 1 , 2 , Dormant , 25.0) : Shoot = 2.5
(South , 1 , 2 , Dormant , 25.0) : Stay = -10.0
(North , 1 , 2 , Dormant , 25.0) : Stay = -10.0
(Centre , 1 , 2 , Dormant , 50.0) : Hit = -5.0
(East , 1 , 2 , Dormant , 50.0) : Hit = 0.0
(West , 1 , 2 , Dormant , 50.0) : Stay = -10.0
(South , 1 , 2 , Dormant , 50.0) : Stay = -10.0
(North , 1 , 2 , Dormant , 50.0) : Stay = -10.0
(Centre , 1 , 2 , Dormant , 75.0) : Stay = -10.0
(East , 1 , 2 , Dormant , 75.0) : Stay = -10.0
(West , 1 , 2 , Dormant , 75.0) : Stay = -10.0
(South , 1 , 2 , Dormant , 75.0) : Stay = -10.0
(North , 1 , 2 , Dormant , 75.0) : Stay = -10.0
(Centre , 1 , 2 , Dormant , 100.0) : Stay = -10.0
(East , 1 , 2 , Dormant , 100.0) : Stay = -10.0
(West , 1 , 2 , Dormant , 100.0) : Stay = -10.0
(South , 1 , 2 , Dormant , 100.0) : Stay = -10.0
(North , 1 , 2 , Dormant , 100.0) : Stay = -10.0
(Centre , 1 , 2 , Ready , 25.0) : Shoot = -17.5
(East , 1 , 2 , Ready , 25.0) : Shoot = -7.5
(West , 1 , 2 , Ready , 25.0) : Shoot = 2.5
(South , 1 , 2 , Ready , 25.0) : Stay = -10.0
(North , 1 , 2 , Ready , 25.0) : Stay = -10.0
(Centre , 1 , 2 , Ready , 50.0) : Hit = -27.5
(East , 1 , 2 , Ready , 50.0) : Hit = -25.0
(West , 1 , 2 , Ready , 50.0) : Stay = -10.0
(South , 1 , 2 , Ready , 50.0) : Stay = -10.0
(North , 1 , 2 , Ready , 50.0) : Stay = -10.0
(Centre , 1 , 2 , Ready , 75.0) : Stay = -30.0
(East , 1 , 2 , Ready , 75.0) : Stay = -30.0
(West , 1 , 2 , Ready , 75.0) : Stay = -10.0
(South , 1 , 2 , Ready , 75.0) : Stay = -10.0
(North , 1 , 2 , Ready , 75.0) : Stay = -10.0
(Centre , 1 , 2 , Ready , 100.0) : Stay = -30.0
(East , 1 , 2 , Ready , 100.0) : Stay = -30.0
(West , 1 , 2 , Ready , 100.0) : Stay = -10.0
(South , 1 , 2 , Ready , 100.0) : Stay = -10.0
(North , 1 , 2 , Ready , 100.0) : Stay = -10.0
(Centre , 1 , 3 , Dormant , 25.0) : Shoot = 15.0
(East , 1 , 3 , Dormant , 25.0) : Shoot = 35.0
(West , 1 , 3 , Dormant , 25.0) : Shoot = 2.5
(South , 1 , 3 , Dormant , 25.0) : Stay = -10.0
(North , 1 , 3 , Dormant , 25.0) : Stay = -10.0
(Centre , 1 , 3 , Dormant , 50.0) : Hit = -5.0
(East , 1 , 3 , Dormant , 50.0) : Hit = 0.0
(West , 1 , 3 , Dormant , 50.0) : Stay = -10.0
(South , 1 , 3 , Dormant , 50.0) : Stay = -10.0
(North , 1 , 3 , Dormant , 50.0) : Stay = -10.0
(Centre , 1 , 3 , Dormant , 75.0) : Stay = -10.0
(East , 1 , 3 , Dormant , 75.0) : Stay = -10.0
(West , 1 , 3 , Dormant , 75.0) : Stay = -10.0
(South , 1 , 3 , Dormant , 75.0) : Stay = -10.0
(North , 1 , 3 , Dormant , 75.0) : Stay = -10.0
(Centre , 1 , 3 , Dormant , 100.0) : Stay = -10.0
(East , 1 , 3 , Dormant , 100.0) : Stay = -10.0
(West , 1 , 3 , Dormant , 100.0) : Stay = -10.0
(South , 1 , 3 , Dormant , 100.0) : Stay = -10.0
(North , 1 , 3 , Dormant , 100.0) : Stay = -10.0
(Centre , 1 , 3 , Ready , 25.0) : Shoot = -17.5
(East , 1 , 3 , Ready , 25.0) : Shoot = -7.5
(West , 1 , 3 , Ready , 25.0) : Shoot = 2.5
(South , 1 , 3 , Ready , 25.0) : Stay = -10.0
(North , 1 , 3 , Ready , 25.0) : Stay = -10.0
(Centre , 1 , 3 , Ready , 50.0) : Hit = -27.5
(East , 1 , 3 , Ready , 50.0) : Hit = -25.0
(West , 1 , 3 , Ready , 50.0) : Stay = -10.0
(South , 1 , 3 , Ready , 50.0) : Stay = -10.0
(North , 1 , 3 , Ready , 50.0) : Stay = -10.0
(Centre , 1 , 3 , Ready , 75.0) : Stay = -30.0
(East , 1 , 3 , Ready , 75.0) : Stay = -30.0
(West , 1 , 3 , Ready , 75.0) : Stay = -10.0
(South , 1 , 3 , Ready , 75.0) : Stay = -10.0
(North , 1 , 3 , Ready , 75.0) : Stay = -10.0
(Centre , 1 , 3 , Ready , 100.0) : Stay = -30.0
(East , 1 , 3 , Ready , 100.0) : Stay = -30.0
(West , 1 , 3 , Ready , 100.0) : Stay = -10.0
(South , 1 , 3 , Ready , 100.0) : Stay = -10.0
(North , 1 , 3 , Ready , 100.0) : Stay = -10.0
(Centre , 2 , 0 , Dormant , 25.0) : Hit = -5.0
(East , 2 , 0 , Dormant , 25.0) : Hit = 0.0
(West , 2 , 0 , Dormant , 25.0) : Stay = -10.0
(South , 2 , 0 , Dormant , 25.0) : Stay = -10.0
(North , 2 , 0 , Dormant , 25.0) : Stay = -10.0
(Centre , 2 , 0 , Dormant , 50.0) : Hit = -5.0
(East , 2 , 0 , Dormant , 50.0) : Hit = 0.0
(West , 2 , 0 , Dormant , 50.0) : Stay = -10.0
(South , 2 , 0 , Dormant , 50.0) : Stay = -10.0
(North , 2 , 0 , Dormant , 50.0) : Stay = -10.0
(Centre , 2 , 0 , Dormant , 75.0) : Stay = -10.0
(East , 2 , 0 , Dormant , 75.0) : Stay = -10.0
(West , 2 , 0 , Dormant , 75.0) : Stay = -10.0
(South , 2 , 0 , Dormant , 75.0) : Stay = -10.0
(North , 2 , 0 , Dormant , 75.0) : Stay = -10.0
(Centre , 2 , 0 , Dormant , 100.0) : Stay = -10.0
(East , 2 , 0 , Dormant , 100.0) : Stay = -10.0
(West , 2 , 0 , Dormant , 100.0) : Stay = -10.0
(South , 2 , 0 , Dormant , 100.0) : Stay = -10.0
(North , 2 , 0 , Dormant , 100.0) : Stay = -10.0
(Centre , 2 , 0 , Ready , 25.0) : Hit = -27.5
(East , 2 , 0 , Ready , 25.0) : Hit = -25.0
(West , 2 , 0 , Ready , 25.0) : Stay = -10.0
(South , 2 , 0 , Ready , 25.0) : Stay = -10.0
(North , 2 , 0 , Ready , 25.0) : Stay = -10.0
(Centre , 2 , 0 , Ready , 50.0) : Hit = -27.5
(East , 2 , 0 , Ready , 50.0) : Hit = -25.0
(West , 2 , 0 , Ready , 50.0) : Stay = -10.0
(South , 2 , 0 , Ready , 50.0) : Stay = -10.0
(North , 2 , 0 , Ready , 50.0) : Stay = -10.0
(Centre , 2 , 0 , Ready , 75.0) : Stay = -30.0
(East , 2 , 0 , Ready , 75.0) : Stay = -30.0
(West , 2 , 0 , Ready , 75.0) : Stay = -10.0
(South , 2 , 0 , Ready , 75.0) : Stay = -10.0
(North , 2 , 0 , Ready , 75.0) : Stay = -10.0
(Centre , 2 , 0 , Ready , 100.0) : Stay = -30.0
(East , 2 , 0 , Ready , 100.0) : Stay = -30.0
(West , 2 , 0 , Ready , 100.0) : Stay = -10.0
(South , 2 , 0 , Ready , 100.0) : Stay = -10.0
(North , 2 , 0 , Ready , 100.0) : Stay = -10.0
(Centre , 2 , 1 , Dormant , 25.0) : Shoot = 15.0
(East , 2 , 1 , Dormant , 25.0) : Shoot = 35.0
(West , 2 , 1 , Dormant , 25.0) : Shoot = 2.5
(South , 2 , 1 , Dormant , 25.0) : Stay = -10.0
(North , 2 , 1 , Dormant , 25.0) : Stay = -10.0
(Centre , 2 , 1 , Dormant , 50.0) : Hit = -5.0
(East , 2 , 1 , Dormant , 50.0) : Hit = 0.0
(West , 2 , 1 , Dormant , 50.0) : Stay = -10.0
(South , 2 , 1 , Dormant , 50.0) : Stay = -10.0
(North , 2 , 1 , Dormant , 50.0) : Stay = -10.0
(Centre , 2 , 1 , Dormant , 75.0) : Stay = -10.0
(East , 2 , 1 , Dormant , 75.0) : Stay = -10.0
(West , 2 , 1 , Dormant , 75.0) : Stay = -10.0
(South , 2 , 1 , Dormant , 75.0) : Stay = -10.0
(North , 2 , 1 , Dormant , 75.0) : Stay = -10.0
(Centre , 2 , 1 , Dormant , 100.0) : Stay = -10.0
(East , 2 , 1 , Dormant , 100.0) : Stay = -10.0
(West , 2 , 1 , Dormant , 100.0) : Stay = -10.0
(South , 2 , 1 , Dormant , 100.0) : Stay = -10.0
(North , 2 , 1 , Dormant , 100.0) : Stay = -10.0
(Centre , 2 , 1 , Ready , 25.0) : Shoot = -17.5
(East , 2 , 1 , Ready , 25.0) : Shoot = -7.5
(West , 2 , 1 , Ready , 25.0) : Shoot = 2.5
(South , 2 , 1 , Ready , 25.0) : Stay = -10.0
(North , 2 , 1 , Ready , 25.0) : Stay = -10.0
(Centre , 2 , 1 , Ready , 50.0) : Hit = -27.5
(East , 2 , 1 , Ready , 50.0) : Hit = -25.0
(West , 2 , 1 , Ready , 50.0) : Stay = -10.0
(South , 2 , 1 , Ready , 50.0) : Stay = -10.0
(North , 2 , 1 , Ready , 50.0) : Stay = -10.0
(Centre , 2 , 1 , Ready , 75.0) : Stay = -30.0
(East , 2 , 1 , Ready , 75.0) : Stay = -30.0
(West , 2 , 1 , Ready , 75.0) : Stay = -10.0
(South , 2 , 1 , Ready , 75.0) : Stay = -10.0
(North , 2 , 1 , Ready , 75.0) : Stay = -10.0
(Centre , 2 , 1 , Ready , 100.0) : Stay = -30.0
(East , 2 , 1 , Ready , 100.0) : Stay = -30.0
(West , 2 , 1 , Ready , 100.0) : Stay = -10.0
(South , 2 , 1 , Ready , 100.0) : Stay = -10.0
(North , 2 , 1 , Ready , 100.0) : Stay = -10.0
(Centre , 2 , 2 , Dormant , 25.0) : Shoot = 15.0
(East , 2 , 2 , Dormant , 25.0) : Shoot = 35.0
(West , 2 , 2 , Dormant , 25.0) : Shoot = 2.5
(South , 2 , 2 , Dormant , 25.0) : Stay = -10.0
(North , 2 , 2 , Dormant , 25.0) : Stay = -10.0
(Centre , 2 , 2 , Dormant , 50.0) : Hit = -5.0
(East , 2 , 2 , Dormant , 50.0) : Hit = 0.0
(West , 2 , 2 , Dormant , 50.0) : Stay = -10.0
(South , 2 , 2 , Dormant , 50.0) : Stay = -10.0
(North , 2 , 2 , Dormant , 50.0) : Stay = -10.0
(Centre , 2 , 2 , Dormant , 75.0) : Stay = -10.0
(East , 2 , 2 , Dormant , 75.0) : Stay = -10.0
(West , 2 , 2 , Dormant , 75.0) : Stay = -10.0
(South , 2 , 2 , Dormant , 75.0) : Stay = -10.0
(North , 2 , 2 , Dormant , 75.0) : Stay = -10.0
(Centre , 2 , 2 , Dormant , 100.0) : Stay = -10.0
(East , 2 , 2 , Dormant , 100.0) : Stay = -10.0
(West , 2 , 2 , Dormant , 100.0) : Stay = -10.0
(South , 2 , 2 , Dormant , 100.0) : Stay = -10.0
(North , 2 , 2 , Dormant , 100.0) : Stay = -10.0
(Centre , 2 , 2 , Ready , 25.0) : Shoot = -17.5
(East , 2 , 2 , Ready , 25.0) : Shoot = -7.5
(West , 2 , 2 , Ready , 25.0) : Shoot = 2.5
(South , 2 , 2 , Ready , 25.0) : Stay = -10.0
(North , 2 , 2 , Ready , 25.0) : Stay = -10.0
(Centre , 2 , 2 , Ready , 50.0) : Hit = -27.5
(East , 2 , 2 , Ready , 50.0) : Hit = -25.0
(West , 2 , 2 , Ready , 50.0) : Stay = -10.0
(South , 2 , 2 , Ready , 50.0) : Stay = -10.0
(North , 2 , 2 , Ready , 50.0) : Stay = -10.0
(Centre , 2 , 2 , Ready , 75.0) : Stay = -30.0
(East , 2 , 2 , Ready , 75.0) : Stay = -30.0
(West , 2 , 2 , Ready , 75.0) : Stay = -10.0
(South , 2 , 2 , Ready , 75.0) : Stay = -10.0
(North , 2 , 2 , Ready , 75.0) : Stay = -10.0
(Centre , 2 , 2 , Ready , 100.0) : Stay = -30.0
(East , 2 , 2 , Ready , 100.0) : Stay = -30.0
(West , 2 , 2 , Ready , 100.0) : Stay = -10.0
(South , 2 , 2 , Ready , 100.0) : Stay = -10.0
(North , 2 , 2 , Ready , 100.0) : Stay = -10.0
(Centre , 2 , 3 , Dormant , 25.0) : Shoot = 15.0
(East , 2 , 3 , Dormant , 25.0) : Shoot = 35.0
(West , 2 , 3 , Dormant , 25.0) : Shoot = 2.5
(South , 2 , 3 , Dormant , 25.0) : Stay = -10.0
(North , 2 , 3 , Dormant , 25.0) : Stay = -10.0
(Centre , 2 , 3 , Dormant , 50.0) : Hit = -5.0
(East , 2 , 3 , Dormant , 50.0) : Hit = 0.0
(West , 2 , 3 , Dormant , 50.0) : Stay = -10.0
(South , 2 , 3 , Dormant , 50.0) : Stay = -10.0
